ECK #,gene name,JW strain
ECK1527,YDEE,JW1527
ECK1528,YDEH,JW1528
ECK1529,YDEI,JW1529
ECK1530,YDEJ,JW1530
ECK1531,DCP,JW1531
ECK1532,YDFG,JW1532
ECK1533,YDFH,JW1533
ECK1534,YDFZ,JW1534
ECK1535,YDFI,JW1535
ECK1542,YNFO,JW1541
ECK1543,YDFO,JW5251
ECK1545,YNFN,JW5254
ECK1546,CSPI,JW1544
ECK1547,YDFP,JW1545
ECK1549,YDFR,JW1547
ECK1550,ESSQ,JW5255
ECK1551,CSPB,JW1549
ECK1552,CSPF,JW1550
ECK1554,YDFU,JW5909
ECK1555,REM,JW1553
ECK1557,RELE,JW1555
ECK1558,RELB,JW1556
ECK1559,YDFV,JW1557
ECK1560,FLXA,JW1558
ECK1561,YDFW,JW1559
ECK1562,YDFX,JW1560
ECK1563,DICC,JW1561
ECK1565,YDFA,JW1563
ECK1566,YDFB,JW1564
ECK1570,YDFD,JW1567
ECK1575,RSPB,JW1572
ECK1576,RSPA,JW1573
ECK1577,YNFA,JW1574
ECK1578,YNFB,JW1575
ECK1580,YNFC,JW5258
ECK1581,YNFD,JW5259
ECK1582,YNFE,JW1579
ECK1583,YNFF,JW5260
ECK1584,YNFG,JW1581
ECK1585,YNFH,JW5261
ECK1586,DMSD,JW5262
ECK1587,CLCB,JW5263
ECK1588,YNFK,JW5264
ECK1589,DGSA,JW1586
ECK1590,YNFL,JW1587
ECK1591,YNFM,JW1588
ECK1592,ASR,JW5826
ECK1593,YDGD,JW1590
ECK1594,MDTI,JW1591
ECK1595,MDTJ,JW1592
ECK1597,PNTB,JW1594
ECK1598,PNTA,JW1595
ECK1599,YDGH,JW1596
ECK1600,YDGI,JW1597
ECK1601,FOLM,JW1598
ECK1602,YDGC,JW1599
ECK1603,RSTA,JW1600
ECK1604,RSTB,JW1601
ECK1605,TUS,JW1602
ECK1606,FUMC,JW1603
ECK1607,FUMA,JW1604
ECK1608,MANA,JW1605
ECK1609,YDGA,JW1606
ECK1610,UIDC,JW1607
ECK1612,UIDA,JW1609
ECK1613,UIDR,JW1610
ECK1614,HDHA,JW1611
ECK1615,MALI,JW1612
ECK1617,MALY,JW1614
ECK1618,ADD,JW1615
ECK1619,YDGJ,JW5265
ECK1620,BLR,JW5963
ECK1622,YDGK,JW1618
ECK1623,RSXA,JW1619
ECK1624,RSXB,JW1620
ECK1625,RSXC,JW1621
ECK1626,RSXD,JW1622
ECK1627,RSXG,JW1623
ECK1628,RSXE,JW1624
ECK1629,NTH,JW1625
ECK1631,GST,JW1627
ECK1632,PDXY,JW1628
ECK1634,PDXH,JW1630
ECK1637,SLYB,JW1633
ECK1638,SLYA,JW5267
ECK1639,YDHI,JW1635
ECK1640,YDHJ,JW1636
ECK1641,YDHK,JW1637
ECK1642,SODC,JW1638
ECK1643,YDHF,JW1639
ECK1644,YDHL,JW5827
ECK1646,NEMA,JW1642
ECK1647,GLOA,JW1643
ECK1648,RNT,JW1644
ECK1649,LHR,JW1645
ECK1651,YDHO,JW5270
ECK1652,SODB,JW1648
ECK1653,YDHP,JW1649
ECK1654,PURR,JW1650
ECK1655,YDHB,JW1651
ECK1656,YDHC,JW1652
ECK1657,CFA,JW1653
ECK1659,MDTK,JW1655
ECK1663,YDHR,JW1657
ECK1664,YDHS,JW1658
ECK1665,YDHT,JW1659
ECK1666,YDHU,JW1660
ECK1667,YDHX,JW5271
ECK1668,YDHW,JW1662
ECK1669,YDHV,JW5272
ECK1670,YDHY,JW1664
ECK1671,YDHZ,JW1665
ECK1672,PYKF,JW1666
ECK1673,LPP,JW1667
ECK1674,YNHG,JW1668
ECK1675,SUFE,JW1669
ECK1676,SUFS,JW1670
ECK1677,SUFD,JW1671
ECK1678,SUFC,JW1672
ECK1679,SUFB,JW5273
ECK1680,SUFA,JW1674
ECK1682,YDIH,JW1675
ECK1683,YDII,JW1676
ECK1684,YDIJ,JW1677
ECK1685,YDIK,JW1678
ECK1688,YDIM,JW1680
ECK1689,YDIN,JW5274
ECK1690,YDIB,JW1682
ECK1692,YDIF,JW1684
ECK1693,YDIO,JW5275
ECK1694,YDIP,JW1686
ECK1695,YDIQ,JW5276
ECK1696,YDIR,JW1688
ECK1697,YDIS,JW1689
ECK1698,YDIT,JW1690
ECK1700,PPS,JW1692
ECK1701,YDIA,JW1693
ECK1702,AROH,JW1694
ECK1703,YDIE,JW1695
ECK1704,YDIU,JW1696
ECK1705,YDIV,JW1697
ECK1706,NLPC,JW1698
ECK1707,BTUD,JW1699
ECK1708,BTUE,JW1700
ECK1709,BTUC,JW1701
ECK1710,IHFA,JW1702
ECK1715,RPMI,JW1707
ECK1719,YNID,JW5911
ECK1720,YDIY,JW1711
ECK1721,PFKB,JW5280
ECK1722,YDIZ,JW1713
ECK1723,YNIA,JW1714
ECK1724,YNIB,JW1715
ECK1725,YNIC,JW1716
ECK1726,YDJM,JW5281
ECK1727,YDJN,JW1718
ECK1728,YDJO,JW1719
ECK1729,CEDA,JW1720
ECK1730,KATE,JW1721
ECK1731,CHBG,JW1722
ECK1732,CHBF,JW1723
ECK1733,CHBR,JW1724
ECK1734,CHBA,JW1725
ECK1735,CHBC,JW1726
ECK1736,CHBB,JW1727
ECK1737,OSME,JW1728
ECK1741,SPY,JW1732
ECK1742,ASTE,JW1733
ECK1744,ASTD,JW5282
ECK1745,ASTA,JW1736
ECK1746,ASTC,JW1737
ECK1747,XTHA,JW1738
ECK1748,YDJX,JW1739
ECK1749,YDJY,JW5283
ECK1750,YDJZ,JW1741
ECK1751,YNJA,JW1742
ECK1752,YNJB,JW5284
ECK1753,YNJC,JW5285
ECK1754,YNJD,JW5286
ECK1755,YNJE,JW5287
ECK1756,YNJF,JW1747
ECK1757,NUDG,JW1748
ECK1759,GDHA,JW1750
ECK1760,YNJI,JW5288
ECK1761,TOPB,JW1752
ECK1762,SELD,JW1753
ECK1763,YDJA,JW1754
ECK1764,SPPA,JW1755
ECK1765,ANSA,JW1756
ECK1766,PNCA,JW1757
ECK1767,YDJE,JW1758
ECK1768,YDJF,JW1759
ECK1769,YDJG,JW1760
ECK1770,YDJH,JW5289
ECK1771,YDJI,JW1762
ECK1772,YDJJ,JW1763
ECK1773,YDJK,JW5290
ECK1774,YDJL,JW1765
ECK1778,YEAD,JW1769
ECK1779,YEAE,JW1770
ECK1780,MIPA,JW1771
ECK1781,YEAG,JW1772
ECK1782,YEAH,JW1773
ECK1783,YEAI,JW1774
ECK1784,YEAJ,JW5291
ECK1787,YEAL,JW1778
ECK1788,YEAM,JW1779
ECK1789,YEAN,JW1780
ECK1790,YEAO,JW1781
ECK1792,YEAP,JW5292
ECK1793,YEAQ,JW1784
ECK1797,YEAT,JW1788
ECK1798,YEAU,JW1789
ECK1799,YEAV,JW5293
ECK1800,YEAW,JW5294
ECK1801,YEAX,JW1792
ECK1802,RND,JW1793
ECK1803,FADD,JW1794
ECK1804,YEAY,JW1795
ECK1806,YOAA,JW1797
ECK1807,YOAB,JW5295
ECK1808,YOAC,JW5296
ECK1809,YOAH,JW1800
ECK1810,PABB,JW1801
ECK1812,SDAA,JW1803
ECK1813,YOAD,JW1804
ECK1814,YOAE,JW1805
ECK1815,MANX,JW1806
ECK1816,MANY,JW1807
ECK1817,MANZ,JW1808
ECK1818,YOBD,JW1809
ECK1819,YEBN,JW5830
ECK1820,RRMA,JW1811
ECK1821,CSPC,JW1812
ECK1822,YOBF,JW1813
ECK1823,YEBO,JW1814
ECK1825,YOBH,JW5298
ECK1826,KDGR,JW1816
ECK1827,YEBQ,JW5299
ECK1828,HTPX,JW1818
ECK1830,PROQ,JW5300
ECK1831,YEBR,JW1821
ECK1832,YEBS,JW1822
ECK1833,YEBT,JW1823
ECK1835,YEBV,JW5302
ECK1836,YEBW,JW5303
ECK1837,PPHA,JW1827
ECK1840,YEBY,JW1828
ECK1841,YEBZ,JW1829
ECK1842,YOBA,JW1830
ECK1843,HOLE,JW1831
ECK1844,YOBB,JW1832
ECK1845,EXOX,JW1833
ECK1846,PTRB,JW1834
ECK1847,YEBE,JW1835
ECK1848,YEBF,JW1836
ECK1849,YEBG,JW1837
ECK1850,PURT,JW1838
ECK1851,EDA,JW1839
ECK1852,EDD,JW1840
ECK1853,ZWF,JW1841
ECK1854,YEBK,JW1842
ECK1855,PYKA,JW1843
ECK1856,LPXM,JW1844
ECK1857,YEBA,JW5304
ECK1858,ZNUA,JW5831
ECK1860,ZNUB,JW1848
ECK1861,RUVB,JW1849
ECK1862,RUVA,JW1850
ECK1863,YEBB,JW5306
ECK1864,RUVC,JW1852
ECK1865,YEBC,JW1853
ECK1866,NUDB,JW1854
ECK1868,YECD,JW5307
ECK1869,YECE,JW1857
ECK1870,YECN,JW5308
ECK1873,TORZ,JW1861
ECK1874,TORY,JW1862
ECK1875,CUTC,JW1863
ECK1876,YECM,JW5309
ECK1878,YECT,JW5310
ECK1879,FLHE,JW1867
ECK1880,FLHA,JW1868
ECK1881,FLHB,JW1869
ECK1882,CHEZ,JW1870
ECK1883,CHEY,JW1871
ECK1884,CHEB,JW1872
ECK1885,CHER,JW1873
ECK1886,TAP,JW1874
ECK1887,TAR,JW1875
ECK1888,CHEW,JW1876
ECK1889,CHEA,JW1877
ECK1890,MOTB,JW1878
ECK1891,MOTA,JW1879
ECK1892,FLHC,JW1880
ECK1893,FLHD,JW1881
ECK1895,OTSA,JW5312
ECK1896,OTSB,JW1886
ECK1897,ARAH,JW1887
ECK1898,ARAG,JW1888
ECK1899,ARAF,JW1889
ECK1901,YECJ,JW1891
ECK1903,YECR,JW1892
ECK1905,YECH,JW1894
ECK1906,TYRP,JW1895
ECK1907,YECA,JW1896
ECK1912,UVRC,JW1898
ECK1913,UVRY,JW1899
ECK1914,YECF,JW1900
ECK1915,SDIA,JW1901
ECK1916,YECC,JW1902
ECK1917,YECS,JW1903
ECK1919,FLIY,JW1905
ECK1920,FLIZ,JW1906
ECK1922,FLIC,JW1908
ECK1923,FLID,JW1909
ECK1924,FLIS,JW1910
ECK1925,FLIT,JW1911
ECK1926,AMYA,JW1912
ECK1927,YEDD,JW1913
ECK1928,YEDE,JW1914
ECK1929,YEDF,JW1915
ECK1930,YEDK,JW1916
ECK1931,YEDL,JW1917
ECK1933,yedM,JW1920
ECK1935,FLIE,JW1921
ECK1936,FLIF,JW1922
ECK1937,FLIG,JW1923
ECK1938,FLIH,JW1924
ECK1939,FLII,JW1925
ECK1940,FLIJ,JW1926
ECK1941,FLIK,JW1927
ECK1942,FLIL,JW1928
ECK1943,FLIM,JW1929
ECK1944,FLIN,JW1930
ECK1945,FLIO,JW5316
ECK1946,FLIP,JW1932
ECK1947,FLIQ,JW1933
ECK1948,FLIR,JW1934
ECK1949,RCSA,JW1935
ECK1950,DSRB,JW1936
ECK1951,YODD,JW5317
ECK1953,YEDP,JW1938
ECK1954,YEDQ,JW5832
ECK1955,YODC,JW1940
ECK1956,YEDI,JW1941
ECK1957,YEDA,JW1942
ECK1958,VSR,JW1943
ECK1959,DCM,JW1944
ECK1960,YEDJ,JW1945
ECK1961,YEDR,JW1946
ECK1963,HCHA,JW1950
ECK1964,YEDV,JW1951
ECK1965,YEDW,JW5322
ECK1966,YEDX,JW1953
ECK1967,YEDY,JW1954
ECK1968,YEDZ,JW1955
ECK1969,YODA,JW1956
ECK1970,YODB,JW5323
ECK1974,YEEJ,JW5833
ECK1976,SHIA,JW1962
ECK1977,AMN,JW1963
ECK1978,YEEN,JW1964
ECK1980,YEEO,JW1965
ECK1982,CBL,JW1966
ECK1983,NAC,JW1967
ECK1985,ERFK,JW1968
ECK1986,COBT,JW1969
ECK1987,COBS,JW1970
ECK1988,COBU,JW1971
ECK1994,YEER,JW1983
ECK1995,YEES,JW1984
ECK1996,YEET,JW1985
ECK1997,YEEU,JW1986
ECK1998,YEEV,JW1987
ECK2001,YEEX,JW1989
ECK2002,YEEA,JW1990
ECK2003,SBMC,JW1991
ECK2004,DACD,JW5329
ECK2005,SBCB,JW1993
ECK2006,YEED,JW1994
ECK2007,YEEE,JW1995
ECK2008,YEEF,JW5330
ECK2009,YEEY,JW5834
ECK2010,YEEZ,JW1998
ECK2011,YOEB,JW5331
ECK2014,HISG,JW2001
ECK2015,HISD,JW2002
ECK2016,HISC,JW2003
ECK2017,HISB,JW2004
ECK2018,HISH,JW2005
ECK2019,HISA,JW2006
ECK2020,HISF,JW2007
ECK2021,HISI,JW2008
ECK2022,CLD,JW5836
ECK2023,UGD,JW2010
ECK2024,GND,JW2011
ECK2026,WBBK,JW2017
ECK2027,WBBJ,JW2018
ECK2028,WBBI,JW2019
ECK2031,RFBX,JW2022
ECK2032,RFBC,JW2023
ECK2033,RFBA,JW2024
ECK2034,RFBD,JW2025
ECK2035,RFBB,JW2026
ECK2036,GALF,JW2027
ECK2037,WCAM,JW2028
ECK2038,WCAL,JW2029
ECK2039,WCAK,JW2030
ECK2040,WZXC,JW2031
ECK2041,WCAJ,JW2032
ECK2042,CPSG,JW2033
ECK2043,CPSB,JW2034
ECK2044,WCAI,JW2035
ECK2046,FCL,JW2037
ECK2047,GMD,JW2038
ECK2048,WCAF,JW2039
ECK2049,WCAE,JW2040
ECK2050,WCAD,JW2041
ECK2051,WCAC,JW2042
ECK2052,WCAB,JW2043
ECK2053,WCAA,JW2044
ECK2054,WZC,JW2045
ECK2055,WZB,JW2046
ECK2056,WZA,JW2047
ECK2057,YEGH,JW5336
ECK2058,ASMA,JW2049
ECK2059,DCD,JW2050
ECK2060,UDK,JW2051
ECK2061,YEGE,JW2052
ECK2062,ALKA,JW2053
ECK2063,YEGD,JW2054
ECK2064,YEGI,JW2055
ECK2065,YEGJ,JW2056
ECK2066,YEGK,JW2057
ECK2067,YEGL,JW2058
ECK2070,MDTA,JW5338
ECK2071,MDTB,JW2060
ECK2072,MDTC,JW2061
ECK2073,MDTD,JW2062
ECK2074,BAES,JW2063
ECK2075,BAER,JW2064
ECK2076,YEGP,JW5339
ECK2077,YEGQ,JW2066
ECK2079,OGRK,JW2067
ECK2081,YEGR,JW5837
ECK2082,YEGS,JW2070
ECK2084,GATD,JW2075
ECK2085,GATC,JW2076
ECK2086,GATB,JW2077
ECK2088,GATZ,JW2082
ECK2089,GATY,JW5343
ECK2090,FBAB,JW5344
ECK2091,YEGT,JW2085
ECK2092,YEGU,JW2086
ECK2093,YEGV,JW2087
ECK2094,YEGW,JW2088
ECK2095,YEGX,JW5345
ECK2096,THID,JW2090
ECK2097,THIM,JW2091
ECK2100,YOHN,JW5346
ECK2101,YEHA,JW2095
ECK2102,YEHB,JW2096
ECK2103,YEHC,JW2097
ECK2104,YEHD,JW2098
ECK2105,YEHE,JW2099
ECK2106,MRP,JW2100
ECK2109,YEHI,JW2105
ECK2110,YEHK,JW2106
ECK2111,YEHL,JW5349
ECK2112,YEHM,JW2108
ECK2113,YEHP,JW5350
ECK2115,YEHR,JW5351
ECK2116,YEHS,JW2112
ECK2117,YEHT,JW5352
ECK2118,YEHU,JW5353
ECK2119,MLRA,JW2115
ECK2120,YOHO,JW5354
ECK2121,YEHW,JW2116
ECK2122,YEHX,JW2117
ECK2123,YEHY,JW2118
ECK2125,BGLX,JW2120
ECK2126,DLD,JW2121
ECK2127,PBPG,JW5355
ECK2128,YOHC,JW5356
ECK2129,YOHD,JW2124
ECK2130,YOHF,JW2125
ECK2132,yohH,JW5358
ECK2133,DUSC,JW2128
ECK2134,YOHJ,JW2129
ECK2135,YOHK,JW2130
ECK2136,CDD,JW2131
ECK2137,SANA,JW2132
ECK2138,YEIS,JW5359
ECK2139,YEIT,JW2133
ECK2140,YEIA,JW2134
ECK2141,MGLC,JW2135
ECK2142,MGLA,JW2136
ECK2143,MGLB,JW2137
ECK2144,GALS,JW2138
ECK2145,YEIB,JW2139
ECK2147,YEIG,JW2141
ECK2148,CIRA,JW2142
ECK2149,LYSP,JW2143
ECK2150,YEIE,JW2144
ECK2151,YEIH,JW2145
ECK2152,NFO,JW2146
ECK2153,YEII,JW2147
ECK2155,RIHB,JW2149
ECK2156,YEIL,JW2150
ECK2160,FRUA,JW2154
ECK2161,FRUK,JW2155
ECK2162,FRUB,JW2156
ECK2163,SETB,JW2157
ECK2164,YEIW,JW5361
ECK2165,YEIP,JW5362
ECK2166,YEIQ,JW2160
ECK2167,YEIR,JW2161
ECK2169,SPR,JW2163
ECK2170,RTN,JW2164
ECK2171,YEJA,JW2165
ECK2172,YEJB,JW2166
ECK2173,YEJE,JW2167
ECK2174,YEJF,JW2168
ECK2175,YEJG,JW2169
ECK2176,BCR,JW5363
ECK2177,RSUA,JW2171
ECK2178,YEJH,JW2172
ECK2180,YEJK,JW2174
ECK2181,YEJL,JW2175
ECK2185,NARP,JW2181
ECK2186,CCMH,JW2182
ECK2187,CCMG,JW2183
ECK2188,CCMF,JW2184
ECK2189,CCME,JW2185
ECK2190,CCMD,JW2186
ECK2192,CCMB,JW2188
ECK2193,CCMA,JW5366
ECK2194,NAPC,JW2190
ECK2195,NAPB,JW5367
ECK2196,NAPH,JW2192
ECK2197,NAPG,JW2193
ECK2198,NAPA,JW2194
ECK2199,NAPD,JW2195
ECK2200,NAPF,JW2196
ECK2201,ECO,JW2197
ECK2203,YOJI,JW2199
ECK2204,ALKB,JW2200
ECK2205,ADA,JW2201
ECK2207,OMPC,JW2203
ECK2209,RCSD,JW2204
ECK2210,RCSB,JW2205
ECK2212,ATOS,JW2213
ECK2213,ATOC,JW2214
ECK2214,ATOD,JW2215
ECK2215,ATOA,JW2216
ECK2216,ATOE,JW2217
ECK2217,ATOB,JW2218
ECK2218,YFAP,JW2219
ECK2219,YFAQ,JW2220
ECK2221,YFAT,JW2223
ECK2222,YFAA,JW2224
ECK2225,YFAL,JW2227
ECK2228,YFAE,JW2230
ECK2229,INAA,JW2231
ECK2231,GLPQ,JW2233
ECK2232,GLPT,JW2234
ECK2233,GLPA,JW2235
ECK2234,GLPB,JW2236
ECK2235,GLPC,JW2237
ECK2236,YFAD,JW2238
ECK2237,YPAA,JW5964
ECK2238,YFAU,JW2239
ECK2239,YFAV,JW2240
ECK2240,YFAW,JW2241
ECK2241,YFAX,JW2242
ECK2242,YFAY,JW2243
ECK2243,YFAZ,JW5371
ECK2245,AIS,JW2246
ECK2250,ARNT,JW2251
ECK2253,PMRD,JW2254
ECK2254,MENE,JW2255
ECK2255,MENC,JW2256
ECK2256,MENB,JW2257
ECK2257,YFBB,JW2258
ECK2258,MEND,JW5374
ECK2259,MENF,JW2260
ECK2260,ELAB,JW2261
ECK2261,ELAA,JW2262